epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,569.051,0.71715,1.02331,0.89447,0.86019,0.68781,0.83026,0.68705,0.77894,0.87914,0.91563,8.94882e-05,8.94882e-05,8.94882e-05
121,573.581,0.70012,0.99992,0.88457,0.79279,0.80157,0.84415,0.69052,0.77406,0.8731,0.91758,8.6736e-05,8.6736e-05,8.6736e-05
122,578.055,0.70204,1.03933,0.88119,0.75906,0.74286,0.83393,0.68812,0.77126,0.87708,0.91263,8.39838e-05,8.39838e-05,8.39838e-05
123,583.82,0.69428,0.98416,0.87853,0.79583,0.78212,0.84962,0.70733,0.76757,0.82068,0.91745,8.12316e-05,8.12316e-05,8.12316e-05
124,588.457,0.68324,0.98893,0.88061,0.78983,0.73713,0.83085,0.68525,0.76867,0.86539,0.91733,7.84794e-05,7.84794e-05,7.84794e-05
125,592.79,0.68354,0.9695,0.87308,0.76827,0.79104,0.84219,0.69299,0.77293,0.84331,0.91465,7.57272e-05,7.57272e-05,7.57272e-05
126,597.257,0.70015,0.96037,0.88588,0.82399,0.76285,0.84517,0.70118,0.75834,0.82327,0.91262,7.2975e-05,7.2975e-05,7.2975e-05
127,601.188,0.66583,0.9332,0.86822,0.87838,0.73456,0.84585,0.70708,0.75511,0.84217,0.91289,7.02228e-05,7.02228e-05,7.02228e-05
128,605.465,0.6758,0.98207,0.87782,0.83039,0.73452,0.83769,0.70091,0.752,0.879,0.91718,6.74706e-05,6.74706e-05,6.74706e-05
129,610.289,0.6743,0.951,0.87327,0.82049,0.76568,0.83773,0.69664,0.75962,0.86605,0.91603,6.47184e-05,6.47184e-05,6.47184e-05
130,616.136,0.66797,0.8925,0.87704,0.83959,0.73693,0.85308,0.70838,0.75667,0.84572,0.91364,6.19662e-05,6.19662e-05,6.19662e-05
131,620.52,0.68658,0.94407,0.89075,0.79494,0.77283,0.84802,0.70821,0.75404,0.83749,0.91491,5.9214e-05,5.9214e-05,5.9214e-05
132,624.96,0.68908,0.98338,0.88905,0.85237,0.74604,0.85104,0.71481,0.74727,0.82264,0.91442,5.64618e-05,5.64618e-05,5.64618e-05
133,629.42,0.67698,0.94419,0.88753,0.84295,0.7577,0.85376,0.71718,0.74911,0.82485,0.91499,5.37096e-05,5.37096e-05,5.37096e-05
134,633.813,0.68597,0.98228,0.87912,0.85345,0.75005,0.85103,0.71629,0.74706,0.81832,0.91433,5.09574e-05,5.09574e-05,5.09574e-05
135,638.327,0.66526,0.92956,0.87916,0.8311,0.74641,0.8512,0.71189,0.74588,0.81513,0.91118,4.82052e-05,4.82052e-05,4.82052e-05
136,642.672,0.65937,0.90945,0.87392,0.85872,0.76152,0.85469,0.71299,0.74994,0.80922,0.91261,4.5453e-05,4.5453e-05,4.5453e-05
137,647.143,0.65987,0.9258,0.87493,0.9029,0.73202,0.86398,0.72405,0.74775,0.80228,0.91298,4.27008e-05,4.27008e-05,4.27008e-05
138,653.163,0.67006,0.91181,0.8685,0.85819,0.7531,0.86762,0.72178,0.75063,0.80403,0.91441,3.99486e-05,3.99486e-05,3.99486e-05
139,657.541,0.66455,0.89093,0.87197,0.83904,0.78562,0.86449,0.71869,0.7527,0.78777,0.91561,3.71964e-05,3.71964e-05,3.71964e-05
140,661.797,0.64979,0.86769,0.87001,0.87267,0.75458,0.86787,0.72574,0.75392,0.77861,0.91651,3.44442e-05,3.44442e-05,3.44442e-05
141,667.565,0.6426,0.85554,0.87233,0.81711,0.77909,0.86389,0.72342,0.76072,0.81042,0.91976,3.1692e-05,3.1692e-05,3.1692e-05
142,671.986,0.65091,0.83911,0.86497,0.85281,0.73263,0.85921,0.71155,0.76455,0.8409,0.92213,2.89398e-05,2.89398e-05,2.89398e-05
143,676.837,0.629,0.78476,0.86081,0.84052,0.76068,0.84768,0.7037,0.76671,0.85671,0.92197,2.61876e-05,2.61876e-05,2.61876e-05
144,681.236,0.63357,0.83035,0.86909,0.82654,0.75301,0.83862,0.70178,0.76148,0.87242,0.92138,2.34354e-05,2.34354e-05,2.34354e-05
145,686.78,0.63405,0.82778,0.86986,0.83622,0.73544,0.84636,0.70439,0.75844,0.8806,0.92344,2.06832e-05,2.06832e-05,2.06832e-05
146,690.806,0.61695,0.78718,0.86569,0.77784,0.79954,0.85376,0.70848,0.75675,0.87197,0.92275,1.7931e-05,1.7931e-05,1.7931e-05
147,695.031,0.61479,0.77229,0.86829,0.79358,0.78202,0.85368,0.70537,0.7524,0.86582,0.92119,1.51788e-05,1.51788e-05,1.51788e-05
148,699.193,0.61818,0.77983,0.86017,0.78863,0.78866,0.85662,0.71092,0.75453,0.85906,0.92153,1.24266e-05,1.24266e-05,1.24266e-05
149,703.416,0.60618,0.74945,0.86959,0.78425,0.79634,0.8567,0.71388,0.7587,0.85594,0.92209,9.6744e-06,9.6744e-06,9.6744e-06
150,707.938,0.60865,0.76073,0.85463,0.82514,0.76304,0.85915,0.71875,0.75695,0.85342,0.92209,6.9222e-06,6.9222e-06,6.9222e-06
